external_id,title,company,domain_tag,total_skills,core_count
242416,CHEF(FE) DE PROJET TECHNIQUE - POSTES ELECTRIQUES (F/H) (H/F),DAVIDSON NORD,operations,3,0
242196,COUNTRY INTERNAL CONTROL COORDINATOR (H/F),LACTALIS GESTION PLANIFICATION ORGANISAT,supply,3,0
242194,INGÉNIEUR(E) DÉVELOPPEMENT BACKEND (H/F) - SUEDE,CLEEVEN ND,engineering,3,0
237416,BUSINESS MANAGER ISALYS (H/F),ISALYS CONSULTING FRANCE,sales,3,0
242173,Dessinateur projeteur génie civil (H/F),FRATECH RP,engineering,3,0
242219,CYBERSECURITY ENGINEER (M/F) (H/F),ALSTOM TRANSPORT SA,engineering,3,0
242471,COMMERCIAL TERRAIN (H/F),BREIZELEC,sales,3,0
237355,SAP Functional Analyst - Spanish Speaker F/M (H/F),VINCI ENERGIES SYSTEMES D INFORMATION,data,3,0
238241,VIE - HR Generalist (12 months) H/F (H/F),AMUNDI ASSET MANAGEMENT,hr,3,0
242065,Fleet Coordinator (H/F),AMARIS FRANCE SAS,supply,3,0
238387,Finance Controller (H/F),FAURECIA INTERIORS HOLDING,finance,3,0
242074,Supply Chain VIE (H/F),FAURECIA INTERIORS HOLDING,supply,3,0
236744,VIE - Quality Engineer - Zalaegerszeg (Hungary) (H/F),SCHNEIDER ELECTRIC INDUSTRIES SAS,engineering,3,0
236683,Référent Comptable en VIE H/F – Maroc (H/F),LIM FRANCE,finance,3,0
BF-242349,Artificial Intelligence Officer (H/F),LYNXEO FRANCE,data,3,0
242523,Junior Portfolio Management Analyst (H/F),CA INDOSUEZ,data,3,0
242496,Sales PopcornFX (H/F),PERSISTANT STUDIOS,sales,3,0
242244,Ingénieur projets photovoltaïques (H/F),FRATECH RP,engineering,3,0
BF-242345,TECH/SALES RESERVOIR SIMULATION SOFTWARE SOLUTIONS (H/F),AMARILE,sales,3,0
BF-242344,TECH/SALES RESERVOIR SIMULATION SOFTWARE SOLUTIONS (H/F),AMARILE,sales,3,0
242234,Supply Chain Business Analyst (H/F),SAFRAN CABIN FRANCE,data,3,0
240113,Analyste Performance Opérations (H/F),AIRBUS ATLANTIC,data,3,0
238192,Materials Engineer | Automotive (H/F),ALTRAN TECHNOLOGIES,engineering,3,0
