title_pattern,external_id,title,company,domain_tag,confidence,method,evidence
business_developer_not_sales,231018,BUSINESS DEVELOPER ALLEMAGNE - MUNICH H/F (H/F),SYNAPSUN,supply,0.9,rules,"[""logistique""]"
business_developer_not_sales,238382,BUSINESS DEVELOPER (H/F),AMARIS FRANCE SAS,supply,0.9,rules,"[""procurement""]"
developer_not_engineering,242209,Développeur PHP junior (H/F),MOONGY,data,0.9,rules,"[""machine learning""]"
developer_not_engineering,237852,Full-stack Developer Java & Angular/React (H/F),ALTEN,data,0.9,rules,"[""machine learning""]"
developer_not_engineering,242197,DÉVELOPPEUR(SE) DATA ENG/BIG DATA (H/F),AGILEDSS FRANCE,data,0.9,rules,"[""data engineer""]"
developer_not_engineering,228347,DEVELOPPEUR SYSTEMES ET RESEAUX (H/F),CITYPASSENGER,finance,0.9,rules,"[""controle""]"
developer_not_engineering,237370,Développeur Angular (H/F),AUBAY,finance,0.9,rules,"[""controle""]"
developer_not_engineering,238435,Développeur.se RAD Wealth Management (H/F),CA INDOSUEZ,hr,0.9,rules,"[""talent acquisition""]"
developer_not_engineering,238325,Business Developer Junior – AgriTech Afrique de l’Ouest (H/F),TELAQUA,sales,0.9,ai_fallback,"[""Business Developer"", ""développement commercial"", ""identifier les exploitations agricoles"", ""opportunités commerciales"", ""animation et expansion du réseau"", ""détection d'opportunités""]"
developer_not_engineering,237797,Business Developer (H/F),AMARIS FRANCE SAS,sales,0.9,rules,"[""business development""]"
developer_not_engineering,241003,BUSINESS DEVELOPER - ACCOUNT MANAGER (H/F),BK CONSULTING FRANCE,sales,0.9,rules,"[""business development""]"
developer_not_engineering,242241,Business développeur (H/F),VAKARIO,sales,0.9,rules,"[""business development""]"
developer_not_engineering,242484,Business Developer H/F (H/F),RICHEL GROUP,sales,0.9,rules,"[""sales manager""]"
developer_not_engineering,242433,Business Developer (H/F),EVTRONIC,sales,0.9,rules,"[""account manager""]"
developer_not_engineering,242134,Service Business Developer – Food & Pharma Division (H/F),ALFA LAVAL FRANCE & NORTH WEST AFRICA SAS,sales,0.7143,rules,"[""business"", ""client"", ""commercial"", ""vente""]"
developer_not_engineering,238426,INTERNATIONAL BUSINESS DEVELOPER (H/F),HEF MECANIQUE ET SURFACES,sales,0.6667,rules,"[""business"", ""commercial"", ""vente""]"
developer_not_engineering,242261,Business Developer (F/H) (H/F),HEADMIND PARTNERS,sales,0.6667,rules,"[""business"", ""client"", ""vente""]"
developer_not_engineering,241002,Business Developer (H/F),GENERAL AU SERVICE DU CHEVAL,sales,0.625,rules,"[""business"", ""client"", ""commercial"", ""vente""]"
developer_not_engineering,242213,BUSINESS DEVELOPER (H/F),ACENSI SAS,sales,0.6,rules,"[""business"", ""vente""]"
developer_not_engineering,242178,Business Developer - VIE - Barcelone (H/F),FLASH CONTRACT,sales,0.5714,rules,"[""business"", ""commercial"", ""vente""]"
developer_not_engineering,238328,BUSINESS DEVELOPER (H/F),FORTIL GROUP,sales,0.5,rules,"[""business"", ""commercial""]"
developer_not_engineering,237413,BUSINESS DEVELOPER (H/F),MABOITEAMOUSTIQUE,sales,0.5,rules,"[""business"", ""commercial""]"
developer_not_engineering,238375,BUSINESS DEVELOPER EXPORT (H/F),RESONE,sales,0.4444,rules,"[""business"", ""commercial"", ""vente""]"
developer_not_engineering,238216,Business Developer / Technico-Commercial (H/F),TECHNICIS,sales,0.4444,rules,"[""business"", ""commercial""]"
developer_not_engineering,237974,Business Developer (H/F),NEXELEC,sales,0.4286,rules,"[""business"", ""commercial""]"
developer_not_engineering,238450,Business Developer (H/F),MAURIC,sales,0.375,rules,"[""business"", ""commercial""]"
developer_not_engineering,231018,BUSINESS DEVELOPER ALLEMAGNE - MUNICH H/F (H/F),SYNAPSUN,supply,0.9,rules,"[""logistique""]"
developer_not_engineering,240150,Business Developer Allemagne – Photovoltaïque F/H (H/F),IDEX SERVICES,supply,0.9,rules,"[""logistique""]"
developer_not_engineering,238382,BUSINESS DEVELOPER (H/F),AMARIS FRANCE SAS,supply,0.9,rules,"[""procurement""]"
recruit_or_talent_or_hr_not_hr,242425,TALENT ACQUISITION SPECIALIST FRANCFORT (H/F),COLLABORATION BETTERS THE WORLD,data,0.9,rules,"[""data analyst""]"
recruit_or_talent_or_hr_not_hr,238287,TALENT ACQUISITION SPECIALIST BERLIN (H/F),COLLABORATION BETTERS THE WORLD,data,0.9,rules,"[""data analyst""]"
recruit_or_talent_or_hr_not_hr,242096,AI Americas - US HR Digital (H/F),AIRBUS,data,0.4,rules,"[""data"", ""bi"", ""tableau"", ""power bi"", ""reporting"", ""dashboard""]"
recruit_or_talent_or_hr_not_hr,233057,TALENT RECRUITER (H/F),JEMS,engineering,0.9,rules,"[""devops""]"
recruit_or_talent_or_hr_not_hr,242211,HR analyst & project manager (H/F),AIRBUS ATLANTIC,operations,0.9,rules,"[""project manager""]"
recruit_or_talent_or_hr_not_hr,235316,International Learning Development & HR Project Manager (H/F),HAGER ELECTRO SAS,operations,0.9,rules,"[""project manager""]"
recruit_or_talent_or_hr_not_hr,242485,HR PROJECT MANAGER (H/F),ALTIOS FRANCE,operations,0.9,rules,"[""project manager""]"
recruit_or_talent_or_hr_not_hr,238245,Recruitment & Business Development Consultant (H/F),DOMINO PRESTATIONS & FORMATION,sales,0.9,rules,"[""business development""]"
recruit_or_talent_or_hr_not_hr,237239,VIE - HR Learning & Development Officer (M/W/D) (H/F),CACEIS,supply,0.9,rules,"[""procurement""]"
