external_id,title,company,country,domain_tag,confidence,method,evidence
232822,INGÉNIEUR STABILITE - (H/F),EXTIA,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242529,INGÉNIEUR SYSTÈMES EMBARQUÉS (H/F),FORTIL GROUP,BELGIQUE,engineering,0.9,rules,"[""devops""]"
232826,INGÉNIEUR ÉLECTRICITÉ (H/F),EXTIA,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242194,INGÉNIEUR(E) DÉVELOPPEMENT BACKEND (H/F) - SUEDE,CLEEVEN ND,SUEDE,engineering,0.9,rules,"[""devops""]"
242373,INGÉNIEUR(E) MAINTENANCE (H/F),FORTIL GROUP,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242127,INGÉNIEUR(E) METHODES (H/F),SMART TREE,TURQUIE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242124,INGÉNIEUR(E) METHODES (H/F),SMART TREE,TCHEQUIE / REPUBLIQUE TCHEQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
237047,INGÉNIEUR(E) MÉTHODES - USINAGE (H/F),NGEN LILLE,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
238343,Ingénieur Calcul Charpente métallique (H/F),SPACIOTEMPO,ROYAUME-UNI,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
238223,Ingénieur Design (H/F),EJ PICARDIE,ALLEMAGNE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
236333,Ingénieur EHS & Ingénieur Général CAPEX (Industrie Pharmaceutique) (H/F),AMARIS FRANCE SAS,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur"", ""automatisation""]"
237615,Ingénieur Intelligence Artificielle (H/F),TOTALENERGIES SE,ETATS-UNIS,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242466,Ingénieur Méthodes (F/H/X) - Aéronautique-Spatial-Défense (H/F),FRATECH RP,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
236330,Ingénieur Qualification/Validation (Industrie Pharmaceutique) (H/F),AMARIS FRANCE SAS,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242467,Ingénieur Qualité (F/H/X) (H/F),FRATECH RP,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242413,Ingénieur R&D en technologies de packaging et d’assemblage (H/F),STMICROELECTRONICS (TOURS) SAS,MALAISIE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242410,Ingénieur R&D en technologies de packaging et d’assemblage (H/F),STMICROELECTRONICS (TOURS) SAS,CHINE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242227,Ingénieur conception mécanique (H/F),FRATECH RP,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242401,Ingénieur de Recherche (H/F),COMPAGNIE DE SAINT-GOBAIN,ETATS-UNIS,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242244,Ingénieur projets photovoltaïques (H/F),FRATECH RP,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
238285,Ingénieur qualité (H/F),STMICROELECTRONICS (TOURS) SAS,SINGAPOUR,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
238286,Ingénieur qualité (H/F),STMICROELECTRONICS (TOURS) SAS,SINGAPOUR,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
236116,Ingénieur.e travaux (H/F),INNOVENT,COMORES,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242159,Java Developer (H/F),PRODUCT DEVELOPMENT EMPLOYENEURSHIP,LUXEMBOURG,engineering,1.0,rules,"[""developer"", ""software""]"
238192,Materials Engineer | Automotive (H/F),ALTRAN TECHNOLOGIES,BELGIQUE,engineering,1.0,rules,"[""engineer""]"
242255,Mechatronics Engineer (H/F),ALTEN,PAYS-BAS,engineering,0.9,rules,"[""software engineer""]"
237991,Mid Devops (H/F),ASF ACT DIGITAL,PORTUGAL,engineering,0.9,rules,"[""devops""]"
237986,Mid Fullstack Developer Java w/ Angular (H/F),ASF ACT DIGITAL,PORTUGAL,engineering,0.9,rules,"[""software engineer""]"
237989,Mid Functional Tester / QA (H/F),ASF ACT DIGITAL,PORTUGAL,engineering,0.9,rules,"[""devops""]"
237988,Mid Test Automation Engineer / QAE (H/F),ASF ACT DIGITAL,PORTUGAL,engineering,0.9,rules,"[""devops""]"
237220,Middle Developer (H/F),SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,ESPAGNE,engineering,0.9,rules,"[""software engineer""]"
236919,PRODUCT OWNER H/F (H/F),HELLO POMELO,ESPAGNE,engineering,0.9,rules,"[""devops""]"
238443,Product & Technology Manufacturing Quality (H/F),STMICROELECTRONICS (TOURS) SAS,ITALIE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
238281,Production Support Engineer (N2) – DevOps Environment (H/F),ASF ACT DIGITAL,PORTUGAL,engineering,0.9,rules,"[""devops""]"
232966,QA ENGINEER W/ FRENCH (H/F),EXTIA,PORTUGAL,engineering,1.0,rules,"[""engineer""]"
