offer_uid,diff_type
ft_200JTPD,DELETED
ft_200GYYH,DELETED
ft_200JSJL,DELETED
ft_200JJWL,DELETED
ft_200JSQH,DELETED
ft_200HBBK,DELETED
ft_200HFHD,DELETED
ft_200JKKL,DELETED
ft_200HCGT,DELETED
ft_200GVXQ,DELETED
ft_200HDGY,DELETED
ft_200JHWM,DELETED
ft_200GYXD,DELETED
ft_200HCFW,DELETED
ft_200JJTG,DELETED
ft_200JTCY,DELETED
ft_200GZMY,DELETED
ft_200GWHR,DELETED
ft_200JJYG,DELETED
ft_200JVQG,DELETED
ft_200JNFW,DELETED
ft_200GRFB,DELETED
ft_200JRGT,DELETED
ft_200GXZH,DELETED
ft_200HFBT,DELETED
ft_200GYMK,DELETED
ft_200GWVK,DELETED
ft_200JVDR,DELETED
ft_200JLJY,DELETED
ft_200JQMF,DELETED
ft_200JKJM,DELETED
ft_200JNKC,DELETED
ft_200HFQK,DELETED
ft_200HGDD,DELETED
ft_200JRPZ,DELETED
ft_200JNGS,DELETED
ft_200GZWG,DELETED
ft_200GYHF,DELETED
ft_200JPDV,DELETED
ft_200JSYW,DELETED
ft_200JNMY,DELETED
ft_200HCLK,DELETED
ft_200GVWH,DELETED
ft_200GZFP,DELETED
ft_200HDCM,DELETED
ft_200JSKF,DELETED
ft_200GXWV,DELETED
ft_200HDJF,DELETED
ft_200JMJC,DELETED
ft_200JKTT,DELETED
ft_200JKST,DELETED
ft_200GZLK,DELETED
ft_200HBHD,DELETED
ft_200GYDH,DELETED
ft_200HFVM,DELETED
ft_200JQXL,DELETED
ft_200GXKL,DELETED
ft_200GYFS,DELETED
ft_200JNTJ,DELETED
ft_200JVJN,DELETED
ft_200GZFQ,DELETED
ft_200JRNC,DELETED
ft_200GVGT,DELETED
ft_200JPVD,DELETED
ft_200HGNQ,DELETED
ft_200GYML,DELETED
ft_200GRDR,DELETED
ft_200HBJX,DELETED
ft_200JJXZ,DELETED
ft_200JNLX,DELETED
ft_200JVFD,DELETED
ft_200HCVX,DELETED
ft_200HBMF,DELETED
ft_200GYFQ,DELETED
ft_200GYXW,DELETED
ft_200JJZG,DELETED
ft_200HBGZ,DELETED
ft_200JNYT,DELETED
ft_200JRCN,DELETED
ft_200GRLS,DELETED
ft_200HFDH,DELETED
ft_200JTVQ,DELETED
ft_200JPVP,DELETED
ft_200GYMY,DELETED
ft_200GVSN,DELETED
ft_200JPNS,DELETED
ft_200JJRN,DELETED
ft_200HFCZ,DELETED
ft_200HBQS,DELETED
ft_200HFTL,DELETED
ft_200HFPQ,DELETED
ft_200JVMR,DELETED
ft_200JQKG,DELETED
ft_200JVRL,DELETED
ft_200HFFW,DELETED
ft_200JTQP,DELETED
ft_200JNFP,DELETED
ft_200JKYP,DELETED
ft_200JNLF,DELETED
ft_200GWHQ,DELETED
ft_200JVDD,DELETED
ft_200JLKF,DELETED
ft_200JPLB,DELETED
ft_200HFXC,DELETED
ft_200HCVW,DELETED
ft_200HCLC,DELETED
ft_200JTGH,DELETED
ft_200JVLV,DELETED
ft_200HHJS,DELETED
ft_200JRPV,DELETED
ft_200HBRQ,DELETED
ft_200JKFB,DELETED
ft_200JNHX,DELETED
ft_200HBQH,DELETED
ft_200JNSM,DELETED
ft_200JHWS,DELETED
ft_200HCZP,DELETED
ft_200JVLC,DELETED
ft_200JMQT,DELETED
ft_200JPPX,DELETED
ft_200HCZN,DELETED
ft_200JLPV,DELETED
ft_200GVHZ,DELETED
ft_200GYQQ,DELETED
ft_200HDYK,DELETED
ft_200GRDZ,DELETED
ft_200HFPT,DELETED
ft_200JNTH,DELETED
ft_200HBTB,DELETED
ft_200JJFH,DELETED
ft_200JTLH,DELETED
ft_200HCDH,DELETED
ft_200HDJQ,DELETED
ft_200GXGJ,DELETED
ft_200HGWG,DELETED
ft_200JKLK,DELETED
ft_200HGLF,DELETED
ft_200HGGB,DELETED
ft_200GWWK,DELETED
ft_200JJLP,DELETED
ft_200JNZV,DELETED
ft_200GWNL,DELETED
ft_200JLVC,DELETED
ft_200JQRS,DELETED
