skill_uri,label,count,frequency_ratio,is_uri_backed
,create,46,0.05483,False
http://data.europa.eu/esco/skill/dc9a236c-c640-43c3-812f-269403591edb,gestion de la relation client,45,0.05364,True
,comptes,45,0.05364,False
,necessaire,45,0.05364,False
,informations,45,0.05364,False
,department,45,0.05364,False
,offers,45,0.05364,False
,regional,45,0.05364,False
,regulatory,45,0.05364,False
,attitude,45,0.05364,False
,contract,45,0.05364,False
,motivated,45,0.05364,False
,offer,45,0.05364,False
,eager,45,0.05364,False
,basic,45,0.05364,False
,formations,45,0.05364,False
,potential,45,0.05364,False
,consulting,45,0.05364,False
,partner,45,0.05364,False
,if,45,0.05364,False
,utilisateurs,45,0.05364,False
,automatisation,45,0.05364,False
,approach,45,0.05364,False
,locales,45,0.05364,False
,souhaitez,45,0.05364,False
,premier,45,0.05364,False
,toute,45,0.05364,False
,informatiques,45,0.05364,False
,dossiers,44,0.05244,False
,evenements,44,0.05244,False
,animation,44,0.05244,False
,efficacite,44,0.05244,False
,professionnels,44,0.05244,False
,out,44,0.05244,False
,autonomy,44,0.05244,False
,delivering,44,0.05244,False
,expansion,44,0.05244,False
,etroite,44,0.05244,False
,existing,44,0.05244,False
,tracking,44,0.05244,False
,engineers,44,0.05244,False
,audit,44,0.05244,False
,entrepreneurial,44,0.05244,False
,varies,44,0.05244,False
,compte,44,0.05244,False
,duree,44,0.05244,False
,multi,44,0.05244,False
,solides,44,0.05244,False
,transition,44,0.05244,False
,taches,44,0.05244,False
,complete,44,0.05244,False
,performances,44,0.05244,False
http://data.europa.eu/esco/skill/2b9f4584-da2e-44e2-a2fb-4dd4fc64c1a2,ci,43,0.05125,True
,acteur,43,0.05125,False
,monthly,43,0.05125,False
,positive,43,0.05125,False
,tech,43,0.05125,False
,coordonner,43,0.05125,False
,improvements,43,0.05125,False
,flux,43,0.05125,False
,growing,43,0.05125,False
,social,43,0.05125,False
,utilisation,43,0.05125,False
,com,43,0.05125,False
,curieux,43,0.05125,False
,adaptation,43,0.05125,False
,elle,43,0.05125,False
,force,43,0.05125,False
,alignment,43,0.05125,False
,idees,43,0.05125,False
,basee,43,0.05125,False
,fait,43,0.05125,False
,necessaires,43,0.05125,False
,soutien,43,0.05125,False
,grands,42,0.05006,False
,logiciel,42,0.05006,False
,prise,42,0.05006,False
,close,42,0.05006,False
,mandatory,42,0.05006,False
,report,42,0.05006,False
,network,42,0.05006,False
,regular,42,0.05006,False
,some,42,0.05006,False
,developpe,42,0.05006,False
,fiabilite,42,0.05006,False
,define,42,0.05006,False
,passion,42,0.05006,False
,reussie,42,0.05006,False
,full,42,0.05006,False
,defis,42,0.05006,False
,analytique,42,0.05006,False
,innovants,42,0.05006,False
,appreciee,41,0.04887,False
,phase,41,0.04887,False
,preparer,41,0.04887,False
,strategiques,41,0.04887,False
,supervision,41,0.04887,False
,asset,41,0.04887,False
,critical,41,0.04887,False
,principles,41,0.04887,False
,marque,41,0.04887,False
,governance,41,0.04887,False
,demonstrate,41,0.04887,False
,solid,41,0.04887,False
,motivation,41,0.04887,False
,not,41,0.04887,False
,ad,41,0.04887,False
,aide,41,0.04887,False
,apporter,41,0.04887,False
,enhance,41,0.04887,False
,animer,41,0.04887,False
,carriere,41,0.04887,False
,fabrication,41,0.04887,False
,parcours,41,0.04887,False
,pleine,41,0.04887,False
,savoir,41,0.04887,False
,jusqu,41,0.04887,False
,approche,41,0.04887,False
,savez,41,0.04887,False
,pre,41,0.04887,False
,sourcing,41,0.04887,False
,expert,41,0.04887,False
http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,devops,40,0.04768,True
http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,espagnol,40,0.04768,True
,existants,40,0.04768,False
,logiciels,40,0.04768,False
,objectif,40,0.04768,False
,type,40,0.04768,False
,communicate,40,0.04768,False
,document,40,0.04768,False
,centre,40,0.04768,False
,sustainable,40,0.04768,False
,enjoy,40,0.04768,False
,maintaining,40,0.04768,False
,onboarding,40,0.04768,False
,supplier,40,0.04768,False
,liees,40,0.04768,False
,dote,40,0.04768,False
,planification,40,0.04768,False
,envie,40,0.04768,False
,priorities,40,0.04768,False
,talent,40,0.04768,False
,gout,40,0.04768,False
,aujourd,40,0.04768,False
,hui,40,0.04768,False
,operationnelles,40,0.04768,False
,serait,39,0.04648,False
,cle,39,0.04648,False
,meet,39,0.04648,False
,mobility,39,0.04648,False
,sciences,39,0.04648,False
,self,39,0.04648,False
,adapter,39,0.04648,False
,possible,39,0.04648,False
,great,39,0.04648,False
,responsibility,39,0.04648,False
,crm,39,0.04648,False
,distribution,39,0.04648,False
,charges,39,0.04648,False
,competitive,39,0.04648,False
,apprendre,39,0.04648,False
,aimez,39,0.04648,False
,autour,39,0.04648,False
,least,39,0.04648,False
,ajoutee,38,0.04529,False
,prospection,38,0.04529,False
,structuration,38,0.04529,False
,vision,38,0.04529,False
,automotive,38,0.04529,False
,candidate,38,0.04529,False
,prospects,38,0.04529,False
,web,38,0.04529,False
,collaborating,38,0.04529,False
,coordinating,38,0.04529,False
,obligatoire,38,0.04529,False
,valeurs,38,0.04529,False
,prenantes,38,0.04529,False
,suppliers,38,0.04529,False
,programs,38,0.04529,False
,teamwork,38,0.04529,False
,travail en équipe,38,0.04529,False
,competence,38,0.04529,False
,financiere,38,0.04529,False
,zone,38,0.04529,False
,organiser,38,0.04529,False
,digitale,38,0.04529,False
,analytics,38,0.04529,False
,fournir,38,0.04529,False
http://data.europa.eu/esco/skill/99571e68-801f-49af-a897-5f75996642e1,analyse financière,37,0.0441,True
http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,allemand,37,0.0441,True
,civil,37,0.0441,False
,financier,37,0.0441,False
,acteurs,37,0.0441,False
,scope,37,0.0441,False
,thinking,37,0.0441,False
,verbal,37,0.0441,False
,which,37,0.0441,False
,portefeuille,37,0.0441,False
,haut,37,0.0441,False
,organise,37,0.0441,False
,major,37,0.0441,False
,personnel,37,0.0441,False
,bruxelles,37,0.0441,False
,accompagne,37,0.0441,False
,agence,37,0.0441,False
,coherence,37,0.0441,False
,concepts,37,0.0441,False
,qualifications,37,0.0441,False
,like,37,0.0441,False
,fluency,37,0.0441,False
