skill_uri,label,count,frequency_ratio,cluster_count,dominant_cluster,dominant_cluster_share,max_concentration
,plans,140,0.16687,6,DATA_IT,0.4,1.712
,amelioration,140,0.16687,6,DATA_IT,0.493,1.357
,part,139,0.16567,6,DATA_IT,0.489,1.361
,mindset,139,0.16567,6,DATA_IT,0.554,1.217
,domaine,139,0.16567,6,DATA_IT,0.468,1.481
,actions,139,0.16567,6,DATA_IT,0.353,1.509
,impact,138,0.16448,6,DATA_IT,0.551,1.21
,besoins,138,0.16448,6,DATA_IT,0.493,1.377
,field,138,0.16448,6,DATA_IT,0.435,1.373
,internal,138,0.16448,6,DATA_IT,0.5,1.609
,technologies,138,0.16448,6,DATA_IT,0.536,1.178
,develop,138,0.16448,6,DATA_IT,0.478,1.49
,up,137,0.16329,6,DATA_IT,0.496,1.441
,looking,137,0.16329,6,DATA_IT,0.547,1.202
,high,136,0.1621,6,DATA_IT,0.5,1.21
,systems,136,0.1621,6,DATA_IT,0.507,1.194
,ecole,134,0.15971,6,DATA_IT,0.418,1.654
,innovation,134,0.15971,6,DATA_IT,0.53,1.164
,etes,134,0.15971,6,DATA_IT,0.313,1.536
,autonomie,133,0.15852,6,DATA_IT,0.391,1.785
,initiatives,132,0.15733,6,DATA_IT,0.515,1.438
,activities,131,0.15614,6,DATA_IT,0.489,1.13
,donnees,131,0.15614,6,DATA_IT,0.542,1.571
,standards,130,0.15495,6,DATA_IT,0.515,1.666
,sens,129,0.15375,6,DATA_IT,0.38,1.718
,serez,128,0.15256,6,DATA_IT,0.398,1.484
,french,128,0.15256,6,DATA_IT,0.516,1.542
,understanding,128,0.15256,6,DATA_IT,0.562,1.235
,engineer,127,0.15137,6,DATA_IT,0.417,2.131
,manage,127,0.15137,6,DATA_IT,0.512,1.385
,company,127,0.15137,6,DATA_IT,0.543,1.943
,us,127,0.15137,6,DATA_IT,0.528,1.172
,ingenierie,125,0.14899,6,ENGINEERING_INDUSTRY,0.416,2.252
,organisation,124,0.14779,6,DATA_IT,0.403,1.772
,analytical,123,0.1466,6,DATA_IT,0.528,1.32
,bon,122,0.14541,6,DATA_IT,0.492,1.392
,information,122,0.14541,6,DATA_IT,0.631,1.386
,avez,122,0.14541,6,DATA_IT,0.385,1.42
,procedures,120,0.14303,6,DATA_IT,0.367,2.143
,systemes,120,0.14303,6,DATA_IT,0.542,1.19
,improvement,120,0.14303,6,DATA_IT,0.5,1.249
,functional,120,0.14303,6,DATA_IT,0.625,1.373
,global,120,0.14303,6,DATA_IT,0.583,1.281
,recherche,120,0.14303,6,DATA_IT,0.4,1.319
,ensuring,120,0.14303,6,DATA_IT,0.525,1.263
,se,119,0.14184,6,DATA_IT,0.345,1.862
,execution,119,0.14184,6,DATA_IT,0.479,1.427
,product,119,0.14184,6,DATA_IT,0.546,1.866
http://data.europa.eu/esco/skill/43dfbe7f-9e10-4871-b171-e5076737b4cf,techniques de marketing numérique,118,0.14064,6,DATA_IT,0.534,1.743
,commerce,118,0.14064,6,DATA_IT,0.331,2.3
,through,118,0.14064,6,DATA_IT,0.534,1.193
,digital,118,0.14064,6,DATA_IT,0.534,1.743
,closely,117,0.13945,6,DATA_IT,0.538,1.195
,gerer,117,0.13945,6,DATA_IT,0.316,1.878
,accompagner,117,0.13945,7,DATA_IT,0.427,7.171
,culture,117,0.13945,6,DATA_IT,0.504,1.108
,lead,116,0.13826,6,DATA_IT,0.491,1.205
,such,115,0.13707,6,DATA_IT,0.565,1.431
,main,114,0.13588,6,DATA_IT,0.456,1.515
,produits,114,0.13588,6,ENGINEERING_INDUSTRY,0.325,1.757
,based,114,0.13588,6,DATA_IT,0.579,1.272
,applications,114,0.13588,6,DATA_IT,0.711,1.561
,societe,114,0.13588,6,DATA_IT,0.465,1.527
,planning,113,0.13468,6,DATA_IT,0.469,1.149
,including,113,0.13468,6,DATA_IT,0.628,1.38
,continue,113,0.13468,6,DATA_IT,0.478,1.237
,implementation,113,0.13468,6,DATA_IT,0.593,1.302
,presentation,112,0.13349,6,DATA_IT,0.446,1.395
,responsabilites,112,0.13349,6,DATA_IT,0.357,1.516
,mettre,112,0.13349,6,DATA_IT,0.411,1.555
,plan,111,0.1323,6,DATA_IT,0.342,1.62
,principales,110,0.13111,6,DATA_IT,0.4,1.295
,suivre,110,0.13111,7,DATA_IT,0.291,7.627
,cross,109,0.12992,6,DATA_IT,0.532,1.169
,collaborate,109,0.12992,5,DATA_IT,0.541,1.189
,secteur,109,0.12992,6,DATA_IT,0.404,1.366
,continuous,108,0.12872,6,DATA_IT,0.491,1.353
,requirements,108,0.12872,6,DATA_IT,0.509,1.119
,analyser,108,0.12872,6,DATA_IT,0.5,1.48
,maintenance,107,0.12753,6,DATA_IT,0.411,2.175
,about,107,0.12753,6,DATA_IT,0.551,1.211
,excellence,107,0.12753,6,DATA_IT,0.421,1.774
,operational,106,0.12634,6,DATA_IT,0.557,1.602
,oriented,106,0.12634,6,DATA_IT,0.491,1.277
,internes,106,0.12634,6,DATA_IT,0.406,1.79
,recherchons,106,0.12634,6,DATA_IT,0.491,1.195
,marche,105,0.12515,6,DATA_IT,0.314,1.958
,stakeholders,105,0.12515,6,DATA_IT,0.571,1.255
,identify,105,0.12515,6,DATA_IT,0.524,1.332
http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081,gérer le système normalisé de planification des ressources dune entreprise,104,0.12396,6,DATA_IT,0.49,2.472
,evolution,104,0.12396,6,DATA_IT,0.471,1.522
,proactive,104,0.12396,6,DATA_IT,0.529,1.171
,preparation,103,0.12277,6,DATA_IT,0.398,1.971
http://data.europa.eu/esco/skill/11c56452-fcec-4b00-9695-cca4728e5048,analyse marketing,102,0.12157,6,MARKETING_SALES,0.529,4.355
,local,102,0.12157,6,DATA_IT,0.471,1.613
,marketing,102,0.12157,6,MARKETING_SALES,0.529,4.355
,notamment,102,0.12157,6,DATA_IT,0.392,1.725
,provide,102,0.12157,6,DATA_IT,0.539,1.371
,nouveaux,101,0.12038,6,DATA_IT,0.317,1.71
,sous,101,0.12038,6,DATA_IT,0.356,1.567
,rigueur,100,0.11919,6,DATA_IT,0.41,1.498
,rejoindre,100,0.11919,6,DATA_IT,0.55,2.058
,customer,100,0.11919,6,DATA_IT,0.49,1.727
,good,100,0.11919,6,DATA_IT,0.39,1.489
,connaissances,100,0.11919,6,DATA_IT,0.51,1.407
,group,99,0.118,6,DATA_IT,0.636,1.504
,professional,98,0.11681,6,DATA_IT,0.5,1.511
,œuvre,97,0.11561,6,DATA_IT,0.485,1.469
,identifier,96,0.11442,7,DATA_IT,0.385,8.74
,nouvelles,96,0.11442,6,DATA_IT,0.417,1.814
,products,96,0.11442,6,DATA_IT,0.531,1.885
,metiers,96,0.11442,6,DATA_IT,0.625,1.373
,jour,95,0.11323,6,DATA_IT,0.347,2.333
,entre,95,0.11323,6,DATA_IT,0.411,1.567
,garantir,95,0.11323,6,DATA_IT,0.474,1.367
,participate,95,0.11323,6,DATA_IT,0.526,1.212
,differents,95,0.11323,6,DATA_IT,0.368,1.367
,into,94,0.11204,5,DATA_IT,0.745,1.636
,transformation,94,0.11204,6,DATA_IT,0.649,1.425
,pays,94,0.11204,6,DATA_IT,0.34,1.852
,follow,93,0.11085,6,DATA_IT,0.538,1.238
,analyses,93,0.11085,6,DATA_IT,0.333,2.328
,more,93,0.11085,6,DATA_IT,0.645,1.417
,application,93,0.11085,6,DATA_IT,0.581,1.275
,supporting,92,0.10965,6,DATA_IT,0.533,1.17
,solving,92,0.10965,6,DATA_IT,0.457,1.471
,idealement,92,0.10965,6,DATA_IT,0.446,1.303
,compliance,91,0.10846,6,DATA_IT,0.418,3.42
,conception,91,0.10846,6,DATA_IT,0.538,1.963
,dynamique,90,0.10727,6,DATA_IT,0.467,1.554
,long,90,0.10727,6,DATA_IT,0.389,1.665
,monitor,90,0.10727,6,DATA_IT,0.522,1.654
,proficiency,90,0.10727,6,DATA_IT,0.633,1.391
,what,90,0.10727,6,DATA_IT,0.644,1.443
,ameliorer,90,0.10727,6,DATA_IT,0.456,1.231
,si,89,0.10608,6,DATA_IT,0.449,1.957
,comme,89,0.10608,6,DATA_IT,0.404,1.779
,contexte,89,0.10608,6,DATA_IT,0.326,1.957
,industry,89,0.10608,6,DATA_IT,0.483,1.294
,system,89,0.10608,6,DATA_IT,0.506,1.459
,sales,89,0.10608,6,MARKETING_SALES,0.539,4.436
,proposer,89,0.10608,6,DATA_IT,0.449,1.571
,realiser,89,0.10608,6,DATA_IT,0.393,1.294
,europe,89,0.10608,6,DATA_IT,0.371,1.957
,bonnes,89,0.10608,6,DATA_IT,0.472,1.156
,needs,88,0.10489,6,DATA_IT,0.58,1.776
,conseil,88,0.10489,6,DATA_IT,0.511,1.799
,via,88,0.10489,6,DATA_IT,0.489,1.439
,maintain,88,0.10489,6,DATA_IT,0.602,1.323
,problem,88,0.10489,6,DATA_IT,0.455,1.538
,resolution,88,0.10489,5,DATA_IT,0.5,1.476
,time,88,0.10489,6,DATA_IT,0.477,1.215
,autres,88,0.10489,6,DATA_IT,0.455,1.979
,activite,87,0.10369,6,DATA_IT,0.276,1.867
,non,87,0.10369,6,DATA_IT,0.368,1.711
,leader,87,0.10369,6,DATA_IT,0.494,1.182
,ensemble,87,0.10369,6,DATA_IT,0.379,2.365
,supply,86,0.1025,6,DATA_IT,0.43,2.904
,improve,86,0.1025,6,DATA_IT,0.558,1.226
,training,86,0.1025,6,DATA_IT,0.407,1.416
,aupres,86,0.1025,6,DATA_IT,0.419,1.657
,responsable,85,0.10131,6,DATA_IT,0.318,1.645
,depuis,85,0.10131,6,DATA_IT,0.424,1.676
,securite,85,0.10131,6,DATA_IT,0.459,1.676
,between,85,0.10131,6,DATA_IT,0.588,1.292
,validation,85,0.10131,7,DATA_IT,0.471,9.871
,best,85,0.10131,6,DATA_IT,0.518,1.137
,help,85,0.10131,6,DATA_IT,0.529,1.293
,well,85,0.10131,6,DATA_IT,0.553,1.214
,software,85,0.10131,6,DATA_IT,0.518,1.258
,one,85,0.10131,6,DATA_IT,0.471,1.528
,creation,85,0.10131,6,DATA_IT,0.471,1.839
,croissance,84,0.10012,6,DATA_IT,0.286,2.073
,partenaires,84,0.10012,6,DATA_IT,0.357,1.763
,participation,84,0.10012,6,DATA_IT,0.429,1.508
,position,84,0.10012,6,DATA_IT,0.548,1.273
,responsible,84,0.10012,6,DATA_IT,0.524,1.15
,reports,84,0.10012,6,DATA_IT,0.512,1.45
,tests,84,0.10012,7,DATA_IT,0.607,9.988
,strategy,83,0.09893,6,DATA_IT,0.542,1.982
,opportunites,83,0.09893,6,DATA_IT,0.398,2.289
,able,83,0.09893,6,DATA_IT,0.566,1.244
,end,83,0.09893,6,DATA_IT,0.614,1.35
,innovative,83,0.09893,6,DATA_IT,0.53,1.487
,contact,82,0.09774,6,DATA_IT,0.451,2.006
,strategie,82,0.09774,6,DATA_IT,0.293,2.124
,microsoft,82,0.09774,6,DATA_IT,0.524,1.931
,dynamic,82,0.09774,6,DATA_IT,0.439,1.404
,sites,82,0.09774,6,DATA_IT,0.415,1.462
,analyze,82,0.09774,6,DATA_IT,0.561,1.605
,career,82,0.09774,6,DATA_IT,0.476,1.096
,solution,82,0.09774,6,DATA_IT,0.549,1.205
